Abriendo SIMIT...
REQUEST:  GET https://www.fcm.org.co/simit/modulos/gadgets-accesibilidad/GadgetAccesibilidadControllerImpl.js
RESPONSE: 200 https://www.fcm.org.co/simit/modulos/gadgets-accesibilidad/GadgetAccesibilidadControllerImpl.js
REQUEST:  GET https://www.fcm.org.co/simit/modulos/gadgets-footer/GadgetFooter.html
RESPONSE: 200 https://www.google.com.co/pagead/1p-conversion/306649963/?value=&label=cU4TCJvztPECEOu2nJIB&url=https%3A%2F%2Fwww.fcm.org.co%2F&guid=ON&script=0&ct_cookie_present=false&random=570647896&crd=CLTesQII8t-xAgit4bECCKG4sQIIscGxAgiwwbECCLHDsQIIisWxAgjCybECCLTGsQIIk9qxAgjb3LECCIfbsQII08WxAgjrzLECCO3OsQII1c-xAgj02rECCJfUsQIIyduxAgix4bECCLPhsQIIpt2xAgiw3rECCIDbsQI&cerd=CgSN4b0t&fsk=ChEI8OOhzwYQy-2I0MH1tu65ARIsADfqr1Vt6qpGcZJjM78GcOxARx-EWaGT_R9JStIty9_p0twAezx4NTWZV60aAkMd&is_vtc=1&cid=CAQSsAEABaugfepJlYIIUlFClnroUuUCNxEfV4jFD7krcPSkRsxY8O-AHaRfJxgUlwfsY_p98dOl-Nfo2quC90ZFAiq659tnSQvlnzHG6vQT-suiMYM-X-3vsBwsvSEAAdZu_Xqh7Emsbu8uwbh7RuEj7f9_lvgv2QyR0bW47Wyp13K0HV6-WdKgiWWlFtnxT1ADHkOxDfeXfJY94SQcO576TChD2_m1o2AZ3MxUuuRb23nATA&random=3477484290&ipr=y&pscrd=IhMIm6TGkJqDlAMVgwvQBB2MpyQCMgwIA2IICAAQABgAIAAyDAgEYggIABAAGAAgADIMCAdiCAgAEAAYACAAMgwICGIICAAQABgAIAAyDAgJYggIABAAGAAgADIMCApiCAgAEAAYACAAMgwIAmIICAAQABgAIAAyDAgLYggIABAAGAAgADIMCBViCAgAEAAYACAAMgwIH2IICAAQABgAIAAyDAgTYggIABAAGAAgADIMCBJiCAgAEAAYACAAOiFodHRwczovL3d3dy5nb29nbGV0YWdtYW5hZ2VyLmNvbS96DAgJYggIABAAGAAgAIIBAnAB
RESPONSE: 200 https://www.fcm.org.co/simit/modulos/gadgets-footer/GadgetFooter.html
REQUEST:  GET https://www.fcm.org.co/simit/modulos/gadgets-footer/GadgetFooterControllerImpl.js
RESPONSE: 200 https://www.fcm.org.co/simit/modulos/gadgets-footer/GadgetFooterControllerImpl.js
REQUEST:  GET https://www.fcm.org.co/simit/modulos/gadgets-navbar/GadgetNavbar.html
RESPONSE: 200 https://www.fcm.org.co/simit/modulos/gadgets-navbar/GadgetNavbar.html
REQUEST:  GET https://www.fcm.org.co/simit/modulos/gadgets-navbar/GadgetNavbarControllerImpl.js
RESPONSE: 200 https://www.fcm.org.co/simit/modulos/gadgets-navbar/GadgetNavbarControllerImpl.js
REQUEST:  GET https://www.fcm.org.co/simit/modulos/gadgets-sidebar/GadgetSidebar.html
RESPONSE: 200 https://www.fcm.org.co/simit/modulos/gadgets-sidebar/GadgetSidebar.html
REQUEST:  GET https://www.fcm.org.co/simit/modulos/gadgets-sidebar/GadgetSidebarControllerImpl.js
RESPONSE: 200 https://www.fcm.org.co/simit/modulos/gadgets-sidebar/GadgetSidebarControllerImpl.js
REQUEST:  GET https://www.fcm.org.co/simit/modulos/historial-pago/HistorialPago.html
RESPONSE: 200 https://www.fcm.org.co/simit/modulos/historial-pago/HistorialPago.html
REQUEST:  GET https://www.fcm.org.co/simit/modulos/home-public/HomePublic.html
RESPONSE: 200 https://www.fcm.org.co/simit/modulos/home-public/HomePublic.html
REQUEST:  GET https://www.fcm.org.co/simit/modulos/inicio-sesion/InicioSesion.html
RESPONSE: 200 https://www.fcm.org.co/simit/modulos/inicio-sesion/InicioSesion.html
REQUEST:  GET https://www.fcm.org.co/simit/modulos/inicio-sesion/InicioSesionControllerImpl.js
RESPONSE: 200 https://www.fcm.org.co/simit/modulos/inicio-sesion/InicioSesionControllerImpl.js
REQUEST:  GET https://www.fcm.org.co/simit/modulos/metodo-pago/MetodoPago.html
RESPONSE: 200 https://www.fcm.org.co/simit/modulos/metodo-pago/MetodoPago.html
REQUEST:  GET https://www.fcm.org.co/simit/modulos/mis-acuerdos/MisAcuerdos.html
RESPONSE: 200 https://www.fcm.org.co/simit/modulos/mis-acuerdos/MisAcuerdos.html
REQUEST:  GET https://www.fcm.org.co/simit/modulos/pagina-construccion/PaginaConstruccion.html
RESPONSE: 200 https://www.fcm.org.co/simit/modulos/pagina-construccion/PaginaConstruccion.html
REQUEST:  GET https://www.fcm.org.co/simit/modulos/pagina-error/PaginaError.html
RESPONSE: 200 https://www.fcm.org.co/simit/modulos/pagina-error/PaginaError.html
REQUEST:  GET https://www.fcm.org.co/simit/modulos/perfil/Perfil.html
RESPONSE: 200 https://www.fcm.org.co/simit/modulos/perfil/Perfil.html
REQUEST:  GET https://www.fcm.org.co/simit/modulos/puntos-pago/PuntosPago.html
RESPONSE: 200 https://www.fcm.org.co/simit/modulos/puntos-pago/PuntosPago.html
REQUEST:  GET https://www.fcm.org.co/simit/modulos/recuperar-contrasena/RecuperarContrasena.html
RESPONSE: 200 https://www.fcm.org.co/simit/modulos/recuperar-contrasena/RecuperarContrasena.html
REQUEST:  GET https://www.fcm.org.co/simit/modulos/recuperar-contrasena/RecuperarContrasenaControllerImpl.js
RESPONSE: 200 https://www.fcm.org.co/simit/modulos/recuperar-contrasena/RecuperarContrasenaControllerImpl.js
REQUEST:  GET https://www.fcm.org.co/simit/modulos/redirect-pse/RedirectPse.html
RESPONSE: 200 https://www.fcm.org.co/simit/modulos/redirect-pse/RedirectPse.html
REQUEST:  GET https://www.fcm.org.co/simit/modulos/registro/Registro.html
RESPONSE: 200 https://www.fcm.org.co/simit/modulos/registro/Registro.html
REQUEST:  GET https://www.fcm.org.co/simit/modulos/registro/RegistroControllerImpl.js
RESPONSE: 200 https://www.fcm.org.co/simit/modulos/registro/RegistroControllerImpl.js
REQUEST:  GET https://www.fcm.org.co/simit/modulos/respuesta-pago/RespuestaPago.html
RESPONSE: 200 https://www.fcm.org.co/simit/modulos/respuesta-pago/RespuestaPago.html
REQUEST:  GET https://www.fcm.org.co/simit/modulos/acuerdo-pago/Validacion/Validacion.html
RESPONSE: 200 https://www.fcm.org.co/simit/modulos/acuerdo-pago/Validacion/Validacion.html
REQUEST:  GET https://www.fcm.org.co/simit/modulos/acuerdo-pago/confirmacion/confirmacion.html
RESPONSE: 200 https://www.fcm.org.co/simit/modulos/acuerdo-pago/confirmacion/confirmacion.html
REQUEST:  GET https://www.fcm.org.co/simit/modulos/acuerdo-pago/multas/multas.html
RESPONSE: 200 https://www.fcm.org.co/simit/modulos/acuerdo-pago/multas/multas.html
REQUEST:  GET https://www.fcm.org.co/simit/modulos/acuerdo-pago/simulador/simulador.html
RESPONSE: 200 https://www.fcm.org.co/simit/modulos/acuerdo-pago/simulador/simulador.html
REQUEST:  GET https://www.fcm.org.co/simit/modulos/acuerdo-pago/documentos/documentos.html
RESPONSE: 200 https://www.fcm.org.co/simit/modulos/acuerdo-pago/documentos/documentos.html
REQUEST:  GET https://www.fcm.org.co/simit/modulos/mis-acuerdos/mis-acuerdos-cancelar/misAcuerdoCancelar.html
RESPONSE: 200 https://www.fcm.org.co/simit/modulos/mis-acuerdos/mis-acuerdos-cancelar/misAcuerdoCancelar.html
REQUEST:  GET https://www.fcm.org.co/simit/modulos/mis-acuerdos/mis-acuerdos-cupon/misAcuerdoCupon.html
RESPONSE: 200 https://www.fcm.org.co/simit/modulos/mis-acuerdos/mis-acuerdos-cupon/misAcuerdoCupon.html
REQUEST:  GET https://www.fcm.org.co/simit/modulos/mis-acuerdos/mis-acuerdos-firmar/misAcuerdoFirma.html
RESPONSE: 200 https://www.fcm.org.co/simit/modulos/mis-acuerdos/mis-acuerdos-firmar/misAcuerdoFirma.html
